la03.txt ;  LB = 597
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


la03.txt ;  LB = 597
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; 597 ; 0,062000 ; 0,046000 ; 0,000000
2 ; 597 ; 0,390000 ; 0,390000 ; 0,000000
3 ; 597 ; 0,187000 ; 0,187000 ; 0,000000
4 ; 597 ; 0,049000 ; 0,049000 ; 0,000000
5 ; 597 ; 0,423000 ; 0,423000 ; 0,000000
6 ; 597 ; 0,174000 ; 0,174000 ; 0,000000
7 ; 597 ; 0,156000 ; 0,141000 ; 0,000000
8 ; 597 ; 0,047000 ; 0,047000 ; 0,000000
9 ; 597 ; 0,015000 ; 0,015000 ; 0,000000
10 ; 597 ; 0,047000 ; 0,031000 ; 0,000000
Average : 
 -  ; 597,000000 ; 0,155000 ; 0,150300 ; 0,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
1 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
2 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
3 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
4 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
5 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
6 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
7 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
8 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
9 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
10 ; -858993460 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000 ; -92559631349317830000000000000000000000000000000000000000000000,000000
Average : 
 -  ; 0,000000 ; 0,000000 ; 0,000000 ; -100,000000 ; 


 ;  LB = -858993460
Replication ;  S ; TT_S ; TTB_S ; Dev_S  
